Clima,Fonte,Gs,Nome,Sottotipo,Terreno,Tipo
Qualsiasi,Bestiario 3,11,"Drago Imperiale, Sottosuolo Adulto",Fuoco,Sotterranei,Drago
Qualsiasi,Bestiario 3,11,"Drago Imperiale, Sovrano Giovane",,Montagne,Drago
Temperati,Bestiario 1,11,"Drago Metallico, Argento Adolescente",Freddo,Montagne,Drago
Caldi,Bestiario 1,11,"Drago Metallico, Oro Giovane",Fuoco,Pianure,Drago
Caldi,Bestiario 1,11,"Drago Metallico, Ottone Adulto",Fuoco,Deserti,Drago
Caldi,Bestiario 1,11,"Drago Metallico, Rame Adulto Giovane",Terra,Colline,Drago
Qualsiasi,Bestiario 2,11,"Drago Primevo, Cristallo Adulto Maturo","Extraplanare, Terra",Sotterranei (Piano della Terra),Drago
Qualsiasi,Bestiario 2,11,"Drago Primevo, Magma Adulto Giovane","Extraplanare, Fuoco","Montagne, Sotterranei (Piano del Fuoco)",Drago
-,Bestiario 2,11,"Drago Primevo, Ombre Adolescente",Extraplanare,Qualsiasi,Drago
Qualsiasi,Bestiario 2,11,"Drago Primevo, Salsedine Adulto","Extraplanare, Acqua",Acquatici (Piano dell'Acqua),Drago
-,Bestiario 2,11,Elementale del Fango Anziano,"Acqua, Elementale, Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
-,Bestiario 2,11,Elementale del Fulmine Anziano,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
-,Bestiario 1,11,Elementale del Fuoco Anziano,"Fuoco, Elementale, Extraplanare",Qualsiasi (Piano del Fuoco),Esterno
Qualsiasi,Bestiario 2,11,Elementale del Ghiaccio Anziano,"Acqua, Aria, Elementale, Extraplanare","Specchi d'Acqua, Terreni (Piano dell'Acqua)",Esterno
-,Bestiario 2,11,Elementale del Magma Anziano,"Fuoco, Elementale, Extraplanare",Qualsiasi (Piano del Fuoco),Esterno
-,Bestiario 1,11,Elementale dell'Acqua Anziano,"Acqua, Elementale, Extraplanare",Qualsiasi (Piano dell'Acqua),Esterno
-,Bestiario 1,11,Elementale dell'Aria Anziano,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
-,Bestiario 1,11,Elementale della Terra Anziano,"Elementale, Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
-,Bestiario 1,11,"Genio, Marid Nobile (Shahzada)","Acqua, Extraplanare",Qualsiasi (Piano dell'Acqua),Esterno
Qualsiasi,Bestiario 3,11,Gigante delle Ceneri,Gigante,Desolazioni,Umanoide
Caldi,Bestiario 4,11,Gholdako del Terrore,,Zone Costiere,Non Morto
Temperati,Bestiario 1,11,Gigante delle Nuvole,Gigante,Montagne,Umanoide
-,Bestiario 1,11,"Golem, Pietra",,Qualsiasi,Costrutto
Qualsiasi,Bestiario 2,11,Gug Sapiente,,Sotterranei,Aberrazione
Qualsiasi,Bestiario 4,11,Harionago,,Terreni,Non Morto
Temperati,Bestiario 1,11,Idra a 12 Teste,,Paludi,Bestia Magica
-,Bestiario 1,11,"Incubo, Cauchemar","Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
Temperati,Bestiario 4,11,Jinmenju,,"Colline, Montagne",Vegetale
-,Bestiario 4,11,Juggernaut,,Qualsiasi,Costrutto
Caldi,Bestiario 3,11,Lukwata,Acquatico,"Fiumi, Laghi, Paludi",Bestia Magica
"Caldi, Temperati",Bestiario 3,11,Medusa Zaffiro,Acquatico,Oceani,Parassita
Qualsiasi,Bestiario 3,11,Naga Reale,Mutaforma,Terreni,Aberrazione
Qualsiasi,Bestiario 1,11,Piroidra a 10 Teste,Fuoco,"Deserti, Vulcani",Bestia Magica
Qualsiasi,Bestiario 4,11,Ragno Golia,,"Foreste, Paludi",Parassita
-,Bestiario 1,11,Recuperatore,Extraplanare,Qualsiasi (Abisso),Costrutto
Caldi,Bestiario 4,11,Scorpione Imperatore Gigante,,Deserti,Parassita
-,Avventure Mitiche,11,Segugio da Guerra di Nessus Mitico,"Extraplanare, Fuoco, Legale, Malvagio, Mitico",Qualsiasi (Inferno),Esterno
"Caldi, Temperati",Bestiario 4,11,Seps,,"Deserti, Foreste",Bestia Magica
Caldi,Bestiario 3,11,Signore degli Animali,"Nativo, Mutaforma",Giungle,Esterno
Freddi,Bestiario 3,11,Sleipnir,,Montagne,Bestia Magica
-,Bestiario 3,11,Taotieh,,Qualsiasi,Costrutto
-,Bestiario 3,11,"Thriae, Veggente",,Qualsiasi,Umanoide Mostruoso
Qualsiasi,Bestiario 2,11,Uccello del Tuono,,"Colline, Montagne",Bestia Magica
Qualsiasi,Bestiario 2,12,"Agathion, Leonal","Agathion, Buono, Extraplanare",Terreni (Nirvana),Esterno
-,Bestiario 2,12,"Angelo, Deva Monadico","Acquatico, Angelo, Buono, Extraplanare",Qualsiasi Piano di Allineamento Buono,Esterno
-,Bestiario 4,12,Aoandon,"Incorporeo, Nativo",Qualsiasi,Esterno
"Freddi, Temperati",Bestiario 2,12,Athach,Gigante,Colline,Umanoide
Caldi,Bestiario 3,12,Baregara,"Caotico, Extraplanare, Malvagio",Foreste (Abisso),Esterno
Qualsiasi,Bestiario 2,12,Catoblepa,,Paludi,Bestia Magica
Freddi,Bestiario 1,12,Crioidra a 11 Teste,Freddo,"Ghiacciai, Paludi",Bestia Magica
-,Bestiario 2,12,"Daemon, Derghodaemon","Daemon, Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
-,Bestiario 3,12,"Demone, Coloxus","Caotico, Demone, Extraplanare, Malvagio",Urbani (Abisso),Esterno
-,Bestiario 2,12,"Demone, Omox","Acquatico, Caotico, Demone, Extraplanare",Qualsiasi (Abisso),Esterno
Caldi,Bestiario 4,12,"Dinosauro, Diplodoco",,Pianure,Animale
-,Bestiario 3,12,"Div, Shira","Div, Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
Caldi,Bestiario 1,12,"Drago Cromatico, Blu Adulto Giovane",Terra,Deserti,Drago
Caldi,Bestiario 1,12,"Drago Cromatico, Nero Adulto Maturo",Acqua,Paludi,Drago
Caldi,Avventure Mitiche,12,"Drago Cromatico, Rosso Giovane Mitico","Fuoco, Mitico",Montagne,Drago
Temperati,Bestiario 1,12,"Drago Cromatico, Verde Adulto",Aria,Foreste,Drago
Qualsiasi,Bestiario 4,12,"Drago Esterno, Lunare Adulto Giovane",,Vuoto,Drago
Qualsiasi,Bestiario 4,12,"Drago Esterno, Solare Adulto Giovane",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 4,12,"Drago Esterno, Tempo Adolescente",,Vuoto,Drago
Qualsiasi,Bestiario 4,12,"Drago Esterno, Vuoto Adulto Giovane",,Vuoto,Drago
"Caldi, Temperati",Bestiario 3,12,"Drago Imperiale, Cielo Adulto Giovane",Aria,Montagne,Drago
Qualsiasi,Bestiario 3,12,"Drago Imperiale, Mare Adulto",Acqua,Acquatici,Drago
Qualsiasi,Bestiario 3,12,"Drago Imperiale, Sovrano Adolescente",,Montagne,Drago
Qualsiasi,Bestiario 3,12,"Drago Imperiale, Sottosuolo Adulto Maturo",Fuoco,Sotterranei,Drago
Temperati,Bestiario 1,12,"Drago Metallico, Bronzo Adulto Giovane",Acqua,Zone Costiere,Drago
Caldi,Bestiario 1,12,"Drago Metallico, Oro Adolescente",Fuoco,Pianure,Drago
Caldi,Bestiario 1,12,"Drago Metallico, Ottone Adulto Maturo",Fuoco,Deserti,Drago
Caldi,Bestiario 1,12,"Drago Metallico, Rame Adulto",Terra,Colline,Drago
Qualsiasi,Bestiario 2,12,"Drago Primevo, Magma Adulto","Extraplanare, Fuoco","Montagne, Sotterranei (Piano del Fuoco)",Drago
Qualsiasi,Bestiario 2,12,"Drago Primevo, Nuvole Adulto Giovane","Extraplanare, Aria",Cieli (Piano dell'Aria),Drago
Qualsiasi,Bestiario 2,12,"Drago Primevo, Salsedine Adulto Maturo","Extraplanare, Acqua",Acquatici (Piano dell'Acqua),Drago
-,Bestiario 2,12,"Eone, Akhana","Eone, Extraplanare",Qualsiasi (Piani Esterni),Esterno
Qualsiasi,Bestiario 2,12,Figlio Splendente,"Extraplanare, Malvagio",Terreni (Extraplanare),Esterno
Qualsiasi,Bestiario 1,12,Fustigatore,,Sotterranei,Aberrazione
Caldi,Avventure Mitiche,12,Gigante del Fuoco Mitico,"Gigante, Mitico",Montagne,Umanoide
Freddi,Bestiario 2,12,Gigante della Taiga,Gigante,"Foreste, Montagne",Umanoide
-,Bestiario 3,12,"Golem, Fossili",,Qualsiasi,Costrutto
-,Bestiario 2,12,"Golem, Meccanico",,Qualsiasi,Costrutto
"Temperati, Tropicali",Bestiario 3,12,Grande Ciclope,Gigante,Qualsiasi,Umanoide
Qualsiasi,Bestiario 4,12,Guscio Lega Anima,,Terreni,Costrutto
-,Bestiario 2,12,"Inevitabile, Kolyarut","Extraplanare, Inevitabile, Legale",Qualsiasi,Esterno
Temperati,Bestiario 3,12,Jorogumo,Mutaforma,Valli Montane,Umanoide Mostruoso
-,Bestiario 3,12,"Kyton, Interlocutore","Extraplanare, Kyton, Legale, Malvagio",Qualsiasi (Piano delle Ombre),Esterno
-,Bestiario 1,12,Lich,Umanoide Potenziato,Qualsiasi,Non Morto
Qualsiasi,Bestiario 4,12,Lorelei,Acquatico,Zone Costiere,Aberrazione
-,Bestiario 3,12,"Meccanico, Leviatano",Meccanico,Qualsiasi,Costrutto
Qualsiasi,Bestiario 3,12,"Megafauna, Basilosauro",,Oceani,Animale
Qualsiasi,Bestiario 1,12,Piroidra a 11 Teste,Fuoco,"Deserti, Vulcani",Bestia Magica
-,Bestiario 2,12,"Qlippoth, Chernobue","Caotico, Extraplanare, Malvagio, Qlippoth",Qualsiasi (Abisso),Esterno
-,Avventure Mitiche,12,"Rakshasa, Comune Mitico","Mitico, Mutaforma, Nativo",Qualsiasi,Esterno
Qualsiasi,Bestiario 3,12,Rusalka,Acquatico,Acquatici,Folletto
Qualsiasi,Bestiario 4,12,Sayona,,"Sotterranei, Terreni",Non Morto
Qualsiasi,Bestiario 1,12,Serpente Marino,Acquatico,Oceani,Bestia Magica
-,Bestiario 3,12,Valchiria,Extraplanare,Qualsiasi,Esterno
Qualsiasi,Bestiario 1,12,Verme Acquatico,,Acquatici,Bestia Magica
Freddi,Bestiario 2,12,Verme del Gelo,Freddo,"Montagne, Pianure",Bestia Magica
Qualsiasi,Bestiario 1,12,Verme Purpureo,,Sotterranei,Bestia Magica
Temperati,Bestiario 4,12,Vouivre,Acquatico,"Foreste, Fiumi, Laghi",Umanoide Mostruoso
Freddi,Bestiario 3,13,Akhlut,"Freddo, Mutaforma","Laghi, Oceani, Pianure",Bestia Magica
Temperati,Bestiario 3,13,Alraune,,Foreste,Vegetale
Qualsiasi,Bestiario 4,13,Argus,Mitico,Terreni,Aberrazione
-,Bestiario 1,13,"Azata, Ghaele","Azata, Buono, Caotico, Extraplanare, Mutaforma",Qualsiasi (Elysium),Esterno
Qualsiasi,Bestiario 3,13,Azruverda,,Sotterranei,Aberrazione
-,Bestiario 2,13,Banshee,Incorporeo,Qualsiasi,Non Morto
Qualsiasi,Bestiario 2,13,Cariddi,Acquatico,Oceani,Aberrazione
Qualsiasi,Bestiario 3,13,Chiappabana Minore,,Foreste,Bestia Magica
Freddi,Bestiario 1,13,Crioidra a 12 Teste,Freddo,"Paludi, Ghiacciai",Bestia Magica
-,Bestiario 2,13,"Daemon, Tanadaemon","Daemon, Extraplanare, Malvagio",Qualsiasi (Abbadon),Esterno
-,Bestiario 3,13,"Demodand, Catramoso","Caotico, Demodand, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
-,Bestiario 1,13,"Demone, Glabrezu","Caotico, Demone, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
-,Bestiario 1,13,"Diavolo, Ghiaccio","Diavolo, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Freddi,Bestiario 1,13,"Drago Cromatico, Bianco Vecchio",Freddo,Montagne,Drago
Caldi,Bestiario 1,13,"Drago Cromatico, Blu Adulto",Terra,Deserti,Drago
Caldi,Bestiario 1,13,"Drago Cromatico, Rosso Adulto Giovane",Fuoco,Montagne,Drago
Temperati,Bestiario 1,13,"Drago Cromatico, Verde Adulto Maturo",Aria,Foreste,Drago
Qualsiasi,Bestiario 4,13,"Drago Esterno, Lunare Adulto",,Vuoto,Drago
Qualsiasi,Bestiario 4,13,"Drago Esterno, Solare Adulto",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 4,13,"Drago Esterno, Vortice Adulto Giovane",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 4,13,"Drago Esterno, Vuoto Adulto",,Vuoto,Drago
"Caldi, Temperati",Bestiario 3,13,"Drago Imperiale, Cielo Adulto",Aria,Montagne,Drago
Qualsiasi,Bestiario 3,13,"Drago Imperiale, Foresta Adulto Giovane",Terra,Foreste,Drago
Qualsiasi,Bestiario 3,13,"Drago Imperiale, Mare Adulto Maturo",Acqua,Acquatici,Drago
Temperati,Bestiario 1,13,"Drago Metallico, Argento Adulto Giovane",Freddo,Montagne,Drago
Temperati,Bestiario 1,13,"Drago Metallico, Bronzo Adulto",Acqua,Zone Costiere,Drago
Caldi,Bestiario 1,13,"Drago Metallico, Rame Adulto Maturo",Terra,Colline,Drago
Qualsiasi,Bestiario 2,13,"Drago Primevo, Cristallo Vecchio","Extraplanare, Terra",Sotterranei (Piano della Terra),Drago
Qualsiasi,Bestiario 2,13,"Drago Primevo, Magma Adulto Maturo","Extraplanare, Fuoco","Montagne, Sotterranei (Piano del Fuoco)",Drago
Qualsiasi,Bestiario 2,13,"Drago Primevo, Nuvole Adulto","Extraplanare, Aria",Cieli (Piano dell'Aria),Drago
-,Bestiario 2,13,"Drago Primevo, Ombre Adulto Giovane",Extraplanare,Qualsiasi,Drago
Temperati,Bestiario 1,13,Froghemoth,,Paludi,Aberrazione
Qualsiasi,Bestiario 4,13,Fustigatore d'Ombra,Aberrazione Potenziata,Sotterranei,Esterno
-,Bestiario 4,13,Gashadokuro,,Qualsiasi,Non Morto
-,Bestiario 1,13,"Genio, Shaitan Nobile (Pasha)","Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
Qualsiasi,Bestiario 3,13,Ghorazagh,,Sotterranei,Aberrazione
Caldi,Bestiario 1,13,Gigante delle Tempeste,Gigante,Qualsiasi,Umanoide
-,Bestiario 1,13,"Golem, Ferro",,Qualsiasi,Costrutto
Qualsiasi,Bestiario 3,13,Granchio Spezzanavi,Acquatico,Acquatici,Parassita
"Caldi, Temperati",Bestiario 2,13,Liana Vipera,,"Foreste, Paludi",Vegetale
-,Bestiario 2,13,Melma Carnivora,,Qualsiasi,Melma
Qualsiasi,Bestiario 1,13,Piroidra a 12 Teste,Fuoco,"Deserti, Vulcani",Bestia Magica
-,Bestiario 4,13,"Psicopompo, Morrigna","Extraplanare, Psicopompo",Qualsiasi (Purgatorio),Esterno
Qualsiasi,Bestiario 4,13,Sirena delle Alghe,Acquatico,Zone Costiere,Bestia Magica
Qualsiasi,Bestiario 4,13,Stregone Pattuente del Diavolo,Umano,Urbani,Umanoide
Qualsiasi,Bestiario 4,13,Uomo di Vimini,Fuoco,Terreni,Costrutto
Qualsiasi,Bestiario 1,13,Verme Cremisi,,Sotterranei,Bestia Magica
-,Bestiario 1,13,Wraith del Terrore,Incorporeo,Qualsiasi,Non Morto
-,Bestiario 1,14,"Angelo, Deva Astrale","Angelo, Buono, Extraplanare",Qualsiasi Piano di Allineamento Buono,Esterno
-,Bestiario 4,14,Ankou,Extraplanare,Qualsiasi (Territori Primevi dei Folletti),Folletto
-,Bestiario 1,14,"Arconte, Trombettiere","Arconte, Buono, Extraplanare, Legale",Qualsiasi (Paradiso),Esterno
Qualsiasi,Bestiario 2,14,Balena Bianca,,Oceani,Animale
-,Bestiario 3,14,Demilich,,Qualsiasi,Non Morto
-,Bestiario 1,14,"Demone, Nalfeshnee","Caotico, Demone, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
-,Bestiario 2,14,"Diavolo, Ancillare","Diavolo, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
-,Bestiario 3,14,"Div, Sepid","Div, Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
Freddi,Bestiario 1,14,"Drago Cromatico, Bianco Molto Vecchio",Freddo,Montagne,Drago
Caldi,Bestiario 1,14,"Drago Cromatico, Blu Adulto Maturo",Terra,Deserti,Drago
Caldi,Bestiario 1,14,"Drago Cromatico, Nero Vecchio",Acqua,Paludi,Drago
Caldi,Bestiario 1,14,"Drago Cromatico, Rosso Adulto",Fuoco,Montagne,Drago
Qualsiasi,Bestiario 4,14,"Drago Esterno, Lunare Adulto Maturo",,Vuoto,Drago
Qualsiasi,Bestiario 4,14,"Drago Esterno, Solare Adulto Maturo",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 4,14,"Drago Esterno, Tempo Adulto Giovane",,Vuoto,Drago
Qualsiasi,Bestiario 4,14,"Drago Esterno, Vortice Adulto",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 4,14,"Drago Esterno, Vuoto Adulto Maturo",,Vuoto,Drago
"Caldi, Temperati",Bestiario 3,14,"Drago Imperiale, Cielo Adulto Maturo",Aria,Montagne,Drago
Qualsiasi,Bestiario 3,14,"Drago Imperiale, Foresta Adulto",Terra,Foreste,Drago
Qualsiasi,Bestiario 3,14,"Drago Imperiale, Sottosuolo Vecchio",Fuoco,Sotterranei,Drago
Qualsiasi,Bestiario 3,14,"Drago Imperiale, Sovrano Adulto Giovane",,Montagne,Drago
Temperati,Bestiario 1,14,"Drago Metallico, Argento Adulto",Freddo,Montagne,Drago
Temperati,Bestiario 1,14,"Drago Metallico, Bronzo Adulto Maturo",Acqua,Zone Costiere,Drago
Caldi,Bestiario 1,14,"Drago Metallico, Oro Adulto Giovane",Fuoco,Pianure,Drago
Caldi,Bestiario 1,14,"Drago Metallico, Ottone Vecchio",Fuoco,Deserti,Drago
Qualsiasi,Bestiario 2,14,"Drago Primevo, Cristallo Molto Vecchio","Extraplanare, Terra",Sotterranei (Piano della Terra),Drago
Qualsiasi,Bestiario 2,14,"Drago Primevo, Nuvole Adulto Maturo","Extraplanare, Aria",Cieli (Piano dell'Aria),Drago
-,Bestiario 2,14,"Drago Primevo, Ombre Adulto",Extraplanare,Qualsiasi,Drago
Qualsiasi,Bestiario 2,14,"Drago Primevo, Salsedine Vecchio","Extraplanare, Acqua",Acquatici (Piano dell'Acqua),Drago
Qualsiasi,Bestiario 4,14,Gigante degli Oceani,"Acquatico, Gigante",Oceani,Umanoide
-,Avventure Mitiche,14,Elementale del Fuoco Anziano Mitico,"Elementale, Extraplanare, Fuoco, Mitico",Qualsiasi (Piano del Fuoco),Umanoide
-,Avventure Mitiche,14,Elementale dell'Acqua Anziano Mitico,"Acqua, Elementale, Extraplanare, Mitico",Qualsiasi (Piano dell'Acqua),Umanoide
-,Avventure Mitiche,14,Elementale dell'Aria Anziano Mitico,"Aria, Elementale, Extraplanare, Mitico",Qualsiasi (Piano dell'Aria),Umanoide
-,Avventure Mitiche,14,Elementale della Terra Anziano Mitico,"Elementale, Extraplanare, Mitico, Terra",Qualsiasi (Piano della Terra),Umanoide
-,Bestiario 3,14,"Golem, Ottone",,Qualsiasi,Costrutto
-,Bestiario 3,14,Kirin Imperatore,Aria,Qualsiasi,Bestia Magica
"Caldi, Temperati",Bestiario 4,14,Ladro di Corpi,,Foreste,Vegetale
Freddi,Bestiario 1,14,"Linnorm, Rupi",,Colline,Drago
Temperati,Bestiario 1,14,Mantide Mortale,,Foreste,Parassita
-,Bestiario 2,14,"Ombra Notturna, Ala Notturna","Extraplanare, Ombra Notturna",Qualsiasi (Piano dell'Energia Negativa),Non Morto
Freddi,Bestiario 3,14,"Oni, Yai del Ghiaccio","Freddo, Oni, Gigante, Mutaforma, Nativo",Montagne,Esterno
-,Bestiario 3,14,Peri,"Buono, Nativo",Qualsiasi Piano di Allineamento Buono,Esterno
-,Bestiario 4,14,Polipo Volante,Aria,Qualsiasi,Aberrazione
Qualsiasi,Bestiario 4,14,Rokurokubi,,Rovine,Umanoide Mostruoso
-,Bestiario 2,14,"Qlippoth, Augnagar","Caotico, Extraplanare, Malvagio, Qlippoth",Qualsiasi (Abisso),Esterno
-,Bestiario 2,14,Ragno di Leng,Extraplanare,Qualsiasi,Bestia Magica
Qualsiasi,Bestiario 2,14,Vemerak,,Sotterranei,Aberrazione
-,Bestiario 2,14,Verme che Cammina,"Umanoide Potenziato, Umano",Qualsiasi,Parassita
Qualsiasi,Bestiario 4,14,Xanthos,,Terreni,Bestia Magica
Qualsiasi,Bestiario 2,15,"Agathion, Cetaceal","Acquatico, Agathion, Buono, Extraplanare",Acquatici (Nirvana),Esterno
Temperati,Bestiario 4,15,Amadriade,,Foreste,Folletto
Qualsiasi,Bestiario 4,15,Barometz,,Foreste,Vegetale
Qualsiasi,Bestiario 3,15,Bonzo di Mare,Acquatico,Oceani,Non Morto
-,Bestiario 3,15,"Daemon, Crucidaemon","Extraplanare, Daemon, Malvagio",Qualsiasi (Abaddon),Esterno
Freddi,Bestiario 1,15,"Drago Cromatico, Bianco Antico",Freddo,Montagne,Drago
Caldi,Avventure Mitiche,15,"Drago Cromatico, Nero Adulto Maturo Mitico","Acqua, Sottotipo Mitico",Paludi,Drago
Caldi,Bestiario 1,15,"Drago Cromatico, Nero Molto Vecchio",Acqua,Paludi,Drago
Caldi,Bestiario 1,15,"Drago Cromatico, Rosso Adulto Maturo",Fuoco,Montagne,Drago
Temperati,Bestiario 1,15,"Drago Cromatico, Verde Vecchio",Aria,Foreste,Drago
Qualsiasi,Bestiario 4,15,"Drago Esterno, Tempo Adulto",,Vuoto,Drago
Qualsiasi,Bestiario 4,15,"Drago Esterno, Vortice Adulto Maturo",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 3,15,"Drago Imperiale, Foresta Adulto Maturo",Terra,Foreste,Drago
Qualsiasi,Bestiario 3,15,"Drago Imperiale, Mare Vecchio",Acqua,Acquatici,Drago
Qualsiasi,Bestiario 3,15,"Drago Imperiale, Sottosuolo Molto Vecchio",Fuoco,Sotterranei,Drago
Qualsiasi,Bestiario 3,15,"Drago Imperiale, Sovrano Adulto",,Montagne,Drago
Temperati,Bestiario 1,15,"Drago Metallico, Argento Adulto Maturo",Freddo,Montagne,Drago
Caldi,Bestiario 1,15,"Drago Metallico, Oro Adulto",Fuoco,Pianure,Drago
Caldi,Bestiario 1,15,"Drago Metallico, Ottone Molto Vecchio",Fuoco,Deserti,Drago
Caldi,Bestiario 1,15,"Drago Metallico, Rame Vecchio",Terra,Colline,Drago
Qualsiasi,Bestiario 2,15,"Drago Primevo, Cristallo Antico","Extraplanare, Terra",Sotterranei (Piano della Terra),Drago
Qualsiasi,Bestiario 2,15,"Drago Primevo, Magma Vecchio","Extraplanare, Fuoco","Montagne, Sotterranei (Piano del Fuoco)",Drago
-,Bestiario 2,15,"Drago Primevo, Ombre Adulto Maturo",Extraplanare,Qualsiasi,Drago
Qualsiasi,Bestiario 2,15,"Drago Primevo, Salsedine Molto Vecchio","Extraplanare, Acqua",Acquatici (Piano dell'Acqua),Drago
-,Bestiario 3,15,Dybbuk,Incorporeo,Qualsiasi,Non Morto
Caldi,Bestiario 1,15,Fenice,Fuoco,"Colline, Deserti",Bestia Magica
-,Bestiario 3,15,"Golem, Cannone",,Qualsiasi,Costrutto
Temperati,Bestiario 3,15,Gorynych,,Foreste,Drago
"Temperati, Tropicali",Avventure Mitiche,15,Grande Ciclope Mitico,"Gigante, Sottotipo Mitico",Qualsiasi,Umanoide
-,Bestiario 2,15,"Inevitabile, Marut","Extraplanare, Inevitabile, Legale",Qualsiasi,Esterno
Qualsiasi,Bestiario 4,15,Hyakume,,Sotterranei,Aberrazione
Qualsiasi,Bestiario 3,15,"Kami, Toshigami","Kami, Nativo",Terreni,Esterno
Tropicali,Bestiario 3,15,Kongamato,,Foreste,Drago
Qualsiasi,Bestiario 4,15,Manitù,Nativo,"Pianure, Foreste",Esterno
Qualsiasi,Bestiario 1,15,Neothelid,,Sotterranei,Aberrazione
"Caldi, Temperati",Bestiario 3,15,"Oni, Yai del Fuoco","Fuoco, Gigante, Mutaforma, Nativo, Oni","Colline, Montagne",Esterno
Caldi,Bestiario 3,15,Popobala,Mutaforma,"Foreste, Zone Costiere",Umanoide Mostruoso
-,Bestiario 3,15,"Rakshasa, Tataka","Mutaforma, Nativo, Rakshasa",Qualsiasi,Esterno
Caldi,Bestiario 2,15,Scorpione Nero,,Deserti,Parassita
Freddi,Bestiario 3,15,Troll Jotund,Gigante,"Colline, Montagne",Umanoide
"Caldi, Temperati",Bestiario 3,15,Uccello Jubjub,,Foreste,Bestia Magica
Qualsiasi,Bestiario 2,15,Xacarba,"Caotico, Extraplanare, Malvagio",Terreni (Abisso),Esterno
Temperati,Bestiario 4,15,Ypotryll,,"Colline, Paludi, Zone Costiere",Bestia Magica
-,Bestiario 1,16,"Angelo, Planetar","Angelo, Buono, Extraplanare",Qualsiasi Piano di Allineamento Buono,Esterno
Qualsiasi,Bestiario 4,16,"Colosso, Carne","Colosso, Mitico",Terreni,Costrutto
-,Bestiario 2,16,"Daemon, Astradaemon","Daemon, Extraplanare, Malvagio",Qualsiasi (Abaddon o Piano Astrale),Esterno
-,Bestiario 3,16,Demilich Risvegliato,,Qualsiasi,Non Morto
-,Bestiario 3,16,"Demodand, Viscido","Caotico, Demodand, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
-,Bestiario 2,16,"Demone, Shemhazian","Caotico, Demone, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
-,Bestiario 1,16,"Diavolo, Cornuto","Diavolo, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
-,Avventure Mitiche,16,"Diavolo, Ghiaccio Mitico","Diavolo, Extraplanare, Legale, Malvagio, Mitico",Qualsiasi (Inferno),Esterno
-,Bestiario 2,16,"Diavolo, Ingannatore","Diavolo, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Freddi,Bestiario 1,16,"Drago Cromatico, Bianco Dragone",Freddo,Montagne,Drago
Caldi,Bestiario 1,16,"Drago Cromatico, Blu Vecchio",Terra,Deserti,Drago
Caldi,Bestiario 1,16,"Drago Cromatico, Nero Antico",Acqua,Paludi,Drago
Temperati,Bestiario 1,16,"Drago Cromatico, Verde Molto Vecchio",Aria,Foreste,Drago
Qualsiasi,Bestiario 4,16,"Drago Esterno, Lunare Vecchio",,Vuoto,Drago
Qualsiasi,Bestiario 4,16,"Drago Esterno, Solare Vecchio",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 4,16,"Drago Esterno, Vuoto Vecchio",,Vuoto,Drago
"Caldi, Temperati",Bestiario 3,16,"Drago Imperiale, Cielo Vecchio",Aria,Montagne,Drago
Qualsiasi,Bestiario 3,16,"Drago Imperiale, Mare Molto Vecchio",Acqua,Acquatici,Drago
Qualsiasi,Bestiario 3,16,"Drago Imperiale, Sottosuolo Antico",Fuoco,Sotterranei,Drago
Qualsiasi,Bestiario 3,16,"Drago Imperiale, Sovrano Adulto Maturo",,Montagne,Drago
Caldi,Bestiario 1,16,"Drago Metallico, Oro Adulto Maturo",Fuoco,Pianure,Drago
Caldi,Bestiario 1,16,"Drago Metallico, Ottone Antico",Fuoco,Deserti,Drago
Temperati,Bestiario 1,16,"Drago Metallico, Bronzo Adulto Maturo",Acqua,Zone Costiere,Drago
Caldi,Bestiario 1,16,"Drago Metallico, Rame Molto Vecchio",Terra,Colline,Drago
Qualsiasi,Bestiario 2,16,"Drago Primevo, Cristallo Dragone","Extraplanare, Terra",Sotterranei (Piano della Terra),Drago
